Transaction_ID,User_ID,Location_ID,Transaction_Type,Amount_IDR,Transaction_Time,Status,Device_Type
T30,U126,L4,Fee,5000,"2024-09-09 18:00:00",Success,Web
T31,U127,L5,Deposit,130000,"2024-09-09 18:05:00",Success,Mobile
T32,U128,L1,Withdrawal,70000,"2024-09-09 18:10:00",Success,Mobile
T33,U129,L2,Deposit,85000,"2024-09-10 19:00:00",Success,Mobile
T34,U130,L3,Fee,5000,"2024-09-10 19:05:00",Success,Web
T35,U131,L4,Deposit,190000,"2024-09-10 19:10:00",Success,Mobile
T36,U132,L5,Withdrawal,80000,"2024-09-11 20:00:00",Success,Mobile
T37,U133,L1,Deposit,95000,"2024-09-11 20:05:00",Success,Web
T38,U134,L2,Fee,5000,"2024-09-11 20:10:00",Success,Mobile
T39,U135,L3,Deposit,140000,"2024-09-12 21:00:00",Success,Mobile
T40,U136,L4,Withdrawal,90000,"2024-09-12 21:05:00",Success,Web
T41,U137,L5,Deposit,160000,"2024-09-13 22:00:00",Success,Mobile
T42,U138,L1,Fee,5000,"2024-09-13 22:05:00",Success,Mobile
T43,U139,L2,Deposit,75000,"2024-09-13 22:10:00",Success,Web
T44,U140,L3,Withdrawal,100000,"2024-09-14 23:00:00",Success,Mobile
T45,U141,L4,Deposit,120000,"2024-09-14 23:05:00",Success,Mobile
T46,U142,L5,Fee,5000,"2024-09-14 23:10:00",Success,Web
T47,U143,L1,Deposit,220000,"2024-09-15 00:00:00",Success,Mobile
T48,U144,L2,Withdrawal,100000,"2024-09-15 00:05:00",Success,Mobile
T49,U145,L3,Deposit,45000,"2024-09-15 00:10:00",Success,Web
T50,U101,L1,Withdrawal,30000,"2024-09-15 00:15:00",Success,Mobile
T51,U146,L1,Deposit,500000,"2024-09-16 09:00:00",Success,Mobile
T52,U147,L2,Withdrawal,20000,"2024-09-16 09:05:00",Success,Web
T53,U148,L3,Deposit,300000,"2024-09-16 09:10:00",Failed,Mobile
T54,U149,L4,Fee,10000,"2024-09-16 09:15:00",Success,Mobile
T55,U150,L5,Deposit,1000000,"2024-09-17 10:00:00",Success,Web
T56,U151,L1,Withdrawal,90000,"2024-09-17 10:05:00",Success,Mobile
T57,U152,L2,Deposit,45000,"2024-09-17 10:10:00",Success,Web
T58,U153,L3,Fee,5000,"2024-09-17 10:15:00",Failed,Mobile
T59,U101,L1,Deposit,120000,"2024-09-18 11:00:00",Success,Web
T60,U154,L2,Withdrawal,30000,"2024-09-18 11:05:00",Success,Mobile
T61,U155,L3,Deposit,20000,"2024-09-18 11:10:00",Success,Mobile
T62,U156,L4,Deposit,900000,"2024-09-18 11:15:00",Success,Web
T63,U157,L5,Withdrawal,150000,"2024-09-19 12:00:00",Success,Mobile
T64,U158,L1,Fee,5000,"2024-09-19 12:05:00",Success,Mobile
T65,U159,L2,Deposit,250000,"2024-09-19 12:10:00",Success,Web
T66,U160,L3,Deposit,20000,"2024-09-20 13:00:00",Success,Mobile
T67,U161,L4,Withdrawal,100000,"2024-09-20 13:05:00",Success,Web
T68,U162,L5,Deposit,60000,"2024-09-20 13:10:00",Success,Mobile
T69,U101,L1,Withdrawal,50000,"2024-09-21 14:00:00",Success,Mobile
T70,U150,L5,Deposit,200000,"2024-09-21 14:05:00",Failed,Mobile
T71,U163,L2,Deposit,180000,"2024-09-22 08:00:00",Success,Mobile
T72,U164,L3,Withdrawal,75000,"2024-09-22 08:05:00",Success,Web
T73,U165,L4,Deposit,220000,"2024-09-22 08:10:00",Success,Mobile
T74,U166,L5,Fee,5000,"2024-09-22 08:15:00",Success,Mobile
T75,U167,L1,Deposit,100000,"2024-09-23 09:00:00",Success,Web
T76,U168,L2,Withdrawal,20000,"2024-09-23 09:05:00",Failed,Mobile
T77,U169,L3,Deposit,950000,"2024-09-23 09:10:00",Success,Mobile
T78,U170,L4,Deposit,50000,"2024-09-23 09:15:00",Pending,Web
T79,U171,L5,Fee,7000,"2024-09-24 10:00:00",Success,Mobile
T80,U172,L1,Withdrawal,250000,"2024-09-24 10:05:00",Success,Web
T81,U101,L2,Deposit,300000,"2024-09-24 10:10:00",Success,Mobile
T82,U173,L3,Deposit,45000,"2024-09-24 10:15:00",Success,Web
T83,U174,L4,Withdrawal,15000,"2024-09-25 11:00:00",Success,Mobile
T84,U175,L5,Deposit,600000,"2024-09-25 11:05:00",Success,Mobile
T85,U176,L1,Fee,5000,"2024-09-25 11:10:00",Success,Web
T86,U177,L2,Deposit,35000,"2024-09-26 12:00:00",Failed,Mobile
T87,U178,L3,Withdrawal,90000,"2024-09-26 12:05:00",Success,Mobile
T88,U179,L4,Deposit,50000,"2024-09-26 12:10:00",Success,Web
T89,U180,L5,Deposit,125000,"2024-09-27 13:00:00",Success,Mobile
T90,U181,L1,Withdrawal,50000,"2024-09-27 13:05:00",Success,Mobile
T91,U182,L2,Deposit,80000,"2024-09-27 13:10:00",Success,Web
T92,U183,L3,Withdrawal,25000,"2024-09-28 14:00:00",Pending,Mobile
T93,U184,L4,Deposit,900000,"2024-09-28 14:05:00",Success,Web
T94,U185,L5,Fee,5000,"2024-09-28 14:10:00",Success,Mobile
T95,U186,L1,Deposit,150000,"2024-09-29 15:00:00",Success,Mobile
T96,U187,L2,Withdrawal,60000,"2024-09-29 15:05:00",Failed,Web
T97,U188,L3,Deposit,300000,"2024-09-29 15:10:00",Success,Mobile
T98,U189,L4,Deposit,10000,"2024-09-29 15:15:00",Success,Mobile
T99,U190,L5,Fee,12000,"2024-09-30 16:00:00",Success,Web
T100,U101,L1,Deposit,500000,"2024-09-30 16:05:00",Success,Mobile
